sim,variable,eff,eff_low,eff_upp,rmse,occ,set,eff_confint_upp,eff_confint_low
31,Uncertainty Sampling,417.9071412012694,395.9365048337362,447.31634815240864,0.009019406813674026,0.3765,samplers,395.9365048337362,447.31634815240864
31,Weighted Balanced Acceptance,675.4014551228734,634.7943332531075,718.6061716152882,0.009541631681207514,0.3765,samplers,634.7943332531075,718.6061716152882
31,Balanced Acceptance,1072.0773212168947,1009.6383399280174,1145.2291966353105,0.010212120743413775,0.3765,samplers,1009.6383399280174,1145.2291966353105
31,Balanced Mask,406.3669045645607,381.1717483744127,428.0592659535591,0.009713000933604714,0.3765,samplers,381.1717483744127,428.0592659535591
32,Uncertainty Sampling,346.9708101312699,324.1589088821829,370.64593595870525,0.015367389039916425,0.6721,samplers,324.1589088821829,370.64593595870525
32,Weighted Balanced Acceptance,389.6513079091393,364.76220796605617,417.0720787534519,0.014363059949397355,0.6721,samplers,364.76220796605617,417.0720787534519
32,Balanced Acceptance,515.5736992160415,477.83842816014914,552.9608815484368,0.01464518162915802,0.6721,samplers,477.83842816014914,552.9608815484368
32,Balanced Mask,342.14658474788195,313.9490321530206,361.8554621153239,0.014243228038480405,0.6721,samplers,313.9490321530206,361.8554621153239
33,Uncertainty Sampling,350.4582752395678,332.69842709955185,371.3880439019666,0.013006810685844979,0.2702,samplers,332.69842709955185,371.3880439019666
33,Weighted Balanced Acceptance,734.592308678754,687.6699937345705,776.9074752541673,0.014260337283720998,0.2702,samplers,687.6699937345705,776.9074752541673
33,Balanced Acceptance,1260.633521780898,1175.3986762323834,1327.927677939754,0.012353676808754814,0.2702,samplers,1175.3986762323834,1327.927677939754
33,Balanced Mask,332.03362878545704,312.0707904961926,353.27346871889864,0.016972272031992332,0.2702,samplers,312.0707904961926,353.27346871889864
34,Uncertainty Sampling,1497.2522447181743,1418.5371872903045,1586.6698596675947,0.013474765127108657,0.7587,samplers,1418.5371872903045,1586.6698596675947
34,Weighted Balanced Acceptance,1580.3352244827963,1494.2604338558876,1674.7146499218313,0.01306558884468435,0.7587,samplers,1494.2604338558876,1674.7146499218313
34,Balanced Acceptance,1911.0560477206668,1799.7540077986055,2049.6375948635964,0.012559895123706413,0.7587,samplers,1799.7540077986055,2049.6375948635964
34,Balanced Mask,1467.601728378377,1382.126963597673,1561.482658183051,0.011477007237774756,0.7587,samplers,1382.126963597673,1561.482658183051
35,Uncertainty Sampling,566.393836621852,536.6168077118871,613.5720274707423,0.012149799520245032,0.1579,samplers,536.6168077118871,613.5720274707423
