sim,set,sp,type,sampler,layer,offset,nbon,low,med,upp,deg,confint_low,confint_upp,pmax
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,78,0.07017543859649122,0.14035087719298245,0.22982456140350868,57,0.14035087719298245,0.15789473684210525,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,91,0.07017543859649122,0.15789473684210525,0.24561403508771928,57,0.14035087719298245,0.17543859649122806,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,104,0.11315789473684211,0.19298245614035087,0.26491228070175427,57,0.17543859649122806,0.21052631578947367,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,117,0.14035087719298245,0.21052631578947367,0.2982456140350877,57,0.21052631578947367,0.22807017543859648,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,130,0.17543859649122806,0.22807017543859648,0.3175438596491227,57,0.21052631578947367,0.24561403508771928,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,143,0.15789473684210525,0.24561403508771928,0.3157894736842105,57,0.22807017543859648,0.2631578947368421,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,156,0.16578947368421051,0.2631578947368421,0.36052631578947364,57,0.24561403508771928,0.2807017543859649,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,169,0.17543859649122806,0.2807017543859649,0.3684210526315789,57,0.2631578947368421,0.2982456140350877,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,182,0.21842105263157893,0.2982456140350877,0.37807017543859645,57,0.2807017543859649,0.3157894736842105,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,195,0.24561403508771928,0.30701754385964913,0.40350877192982454,57,0.2982456140350877,0.3333333333333333,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,208,0.22807017543859648,0.3333333333333333,0.39561403508771925,57,0.3157894736842105,0.3508771929824561,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,221,0.2631578947368421,0.3333333333333333,0.4228070175438596,57,0.3333333333333333,0.3508771929824561,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,234,0.24561403508771928,0.3333333333333333,0.43070175438596486,57,0.3157894736842105,0.3508771929824561,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,247,0.2807017543859649,0.37719298245614036,0.44824561403508767,57,0.3508771929824561,0.38596491228070173,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,260,0.2631578947368421,0.3684210526315789,0.45614035087719296,57,0.3508771929824561,0.38596491228070173,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,273,0.2982456140350877,0.39473684210526316,0.47368421052631576,57,0.38596491228070173,0.42105263157894735,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,286,0.2982456140350877,0.40350877192982454,0.5008771929824561,57,0.38596491228070173,0.40350877192982454,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,299,0.32368421052631585,0.42105263157894735,0.49122807017543857,57,0.40350877192982454,0.42105263157894735,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,312,0.3333333333333333,0.42105263157894735,0.49122807017543857,57,0.40350877192982454,0.43859649122807015,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,325,0.3587719298245614,0.42105263157894735,0.5087719298245614,57,0.40350877192982454,0.43859649122807015,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,338,0.3684210526315789,0.43859649122807015,0.5359649122807018,57,0.42105263157894735,0.47368421052631576,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,351,0.37631578947368427,0.43859649122807015,0.5359649122807018,57,0.43859649122807015,0.45614035087719296,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,364,0.3587719298245614,0.47368421052631576,0.543859649122807,57,0.45614035087719296,0.47368421052631576,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,377,0.37631578947368427,0.45614035087719296,0.543859649122807,57,0.45614035087719296,0.47368421052631576,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,390,0.39210526315789473,0.49122807017543857,0.5789473684210527,57,0.49122807017543857,0.5087719298245614,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.25,0.25,1,0.0,0.0,0.017543859649122806,57,0.0,0.0,1.0
