sim,set,variable,offset,eff,eff_low,eff_upp,occ
13,ranges,Under-0.05,-0.05,7807.644687235115,7693.963456396712,7879.270490878465,0.4207
13,ranges,Under-0.10,-0.1,7717.038583456139,7620.760388826237,7804.854235588245,0.4207
13,ranges,Under-0.15,-0.15,7626.677601473649,7503.256983005425,7708.405283029823,0.4207
13,ranges,Under-0.20,-0.2,7542.872162309321,7435.1990031750065,7641.424246070505,0.4207
13,ranges,Under-0.25,-0.25,7456.992293958757,7327.5141476873305,7533.769872320028,0.4207
13,ranges,Under-0.30,-0.3,7314.646335337451,7183.682351979984,7432.075139099292,0.4207
13,ranges,Under-0.35,-0.35,7226.699818400093,7099.7383701047565,7330.724574157137,0.4207
13,ranges,Under-0.40,-0.4,7096.347480965827,6996.914094115104,7233.279196891559,0.4207
13,ranges,Under-0.45,-0.45,7024.555032114302,6849.202099486216,7126.774002464541,0.4207
13,ranges,Under-0.50,-0.5,6877.670687407253,6660.436354513757,6930.628983768818,0.4207
14,ranges,Over-0.50,0.5,9365.692698693887,9336.930532748569,9394.244393499597,0.5388
14,ranges,Over-0.45,0.45,9367.633725218213,9335.917879424622,9395.175548022726,0.5388
14,ranges,Over-0.40,0.4,9368.602204010129,9337.941780794574,9394.244393499597,0.5388
14,ranges,Over-0.35,0.35,9363.746236368639,9336.930532748569,9395.175548022726,0.5388
14,ranges,Over-0.30,0.3,9362.770962821702,9339.96006749768,9394.244393499597,0.5388
14,ranges,Over-0.25,0.25,9367.633725218213,9337.941780794574,9394.244393499597,0.5388
14,ranges,Over-0.20,0.2,9364.720147797914,9337.941780794574,9390.506640517387,0.5388
14,ranges,Over-0.15,0.15,9360.81632303228,9333.888350492116,9387.689490638539,0.5388
14,ranges,Over-0.10,0.1,9363.746236368639,9339.96006749768,9393.311927039746,0.5388
14,ranges,Over-0.05,0.05,9364.720147797914,9339.96006749768,9392.378147091462,0.5388
14,ranges,True-0.00,0.0,9365.692698693887,9335.917879424622,9386.747797113636,0.5388
14,ranges,Under-0.05,-0.05,9338.951625174112,9313.28069708496,9373.424316445366,0.5388
14,ranges,Under-0.10,-0.1,9320.558347433249,9288.867700238974,9352.94296158978,0.5388
14,ranges,Under-0.15,-0.15,9297.446980702325,9258.088499433889,9329.81235827858,0.5388
14,ranges,Under-0.20,-0.2,9254.720365981068,9216.750786808892,9284.542582560729,0.5388
14,ranges,Under-0.25,-0.25,9229.596448175593,9192.90116152816,9262.557972490667,0.5388
14,ranges,Under-0.30,-0.3,9181.957944895688,9141.965659830415,9214.39463420754,0.5388
14,ranges,Under-0.35,-0.35,9135.561687734351,9094.89891873086,9175.821138832984,0.5388
14,ranges,Under-0.40,-0.4,9104.226491609497,9063.642042558396,9138.128370221217,0.5388
14,ranges,Under-0.45,-0.45,9041.338832723915,9008.457621430078,9075.98500359793,0.5388
14,ranges,Under-0.50,-0.5,8980.551437383237,8948.909588414925,9025.73480566963,0.5388
15,ranges,Over-0.50,0.5,8598.56495094539,8544.98708785162,8659.915193010818,0.3835
