sim,set,variable,eff,occ
12,ranges,Under-0.02,7.165216521652164,0.7928
12,ranges,Under-0.04,7.155215521552156,0.7928
12,ranges,Under-0.06,7.171217121712172,0.7928
12,ranges,Under-0.08,7.173217321732173,0.7928
12,ranges,Under-0.1,7.153215321532153,0.7928
12,ranges,Under-0.12,7.175217521752176,0.7928
12,ranges,Under-0.14,7.167216721672167,0.7928
12,ranges,Under-0.16,7.161216121612162,0.7928
12,ranges,Under-0.18,7.215221522152215,0.7928
12,ranges,Under-0.2,7.245224522452245,0.7928
12,ranges,Under-0.22,7.311231123112312,0.7928
12,ranges,Under-0.24,7.301230123012301,0.7928
12,ranges,Under-0.26,7.291229122912291,0.7928
12,ranges,Under-0.28,7.265226522652266,0.7928
12,ranges,Under-0.3,7.2752275227522745,0.7928
13,ranges,Over-0.3,6.943194319431943,0.4207
13,ranges,Over-0.28,6.917191719171917,0.4207
13,ranges,Over-0.26,6.899189918991899,0.4207
13,ranges,Over-0.24,6.867186718671867,0.4207
13,ranges,Over-0.22,6.8411841184118405,0.4207
13,ranges,Over-0.2,6.819181918191819,0.4207
13,ranges,Over-0.18,6.779177917791779,0.4207
13,ranges,Over-0.16,6.769176917691768,0.4207
13,ranges,Over-0.14,6.731173117311731,0.4207
13,ranges,Over-0.12,6.687168716871687,0.4207
13,ranges,Over-0.1,6.631163116311631,0.4207
13,ranges,Over-0.08,6.583158315831582,0.4207
13,ranges,Over-0.06,6.537153715371538,0.4207
13,ranges,Over-0.04,6.453145314531453,0.4207
13,ranges,Over-0.02,6.377137713771377,0.4207
13,ranges,True-0.0,6.303130313031302,0.4207
13,ranges,Under-0.02,6.261126112611261,0.4207
13,ranges,Under-0.04,6.2871287128712865,0.4207
13,ranges,Under-0.06,6.31113111311131,0.4207
13,ranges,Under-0.08,6.293129312931294,0.4207
13,ranges,Under-0.1,6.309130913091309,0.4207
13,ranges,Under-0.12,6.301130113011302,0.4207
13,ranges,Under-0.14,6.293129312931294,0.4207
13,ranges,Under-0.16,6.327132713271325,0.4207
13,ranges,Under-0.18,6.507150715071508,0.4207
13,ranges,Under-0.2,6.575157515751576,0.4207
13,ranges,Under-0.22,6.607160716071607,0.4207
13,ranges,Under-0.24,6.623162316231623,0.4207
13,ranges,Under-0.26,6.663166316631664,0.4207
13,ranges,Under-0.28,6.833183318331832,0.4207
13,ranges,Under-0.3,6.8091809180918075,0.4207
14,ranges,Over-0.3,5.117011701170117,0.5388
14,ranges,Over-0.28,5.125012501250126,0.5388
14,ranges,Over-0.26,5.099009900990099,0.5388
14,ranges,Over-0.24,5.123012301230123,0.5388
14,ranges,Over-0.22,5.087008700870086,0.5388
14,ranges,Over-0.2,5.081008100810081,0.5388
14,ranges,Over-0.18,5.053005300530053,0.5388
14,ranges,Over-0.16,5.0450045004500454,0.5388
14,ranges,Over-0.14,5.0150015001500154,0.5388
14,ranges,Over-0.12,4.978997899789979,0.5388
14,ranges,Over-0.1,4.920992099209921,0.5388
14,ranges,Over-0.08,4.870987098709872,0.5388
14,ranges,Over-0.06,4.792979297929793,0.5388
14,ranges,Over-0.04,4.724972497249725,0.5388
14,ranges,Over-0.02,4.628962896289629,0.5388
14,ranges,True-0.0,4.530953095309531,0.5388
14,ranges,Under-0.02,4.524952495249525,0.5388
14,ranges,Under-0.04,4.540954095409541,0.5388
14,ranges,Under-0.06,4.532953295329532,0.5388
14,ranges,Under-0.08,4.542954295429543,0.5388
14,ranges,Under-0.1,4.56095609560956,0.5388
14,ranges,Under-0.12,4.56095609560956,0.5388
14,ranges,Under-0.14,4.612961296129613,0.5388
14,ranges,Under-0.16,4.58095809580958,0.5388
14,ranges,Under-0.18,4.594959495949595,0.5388
14,ranges,Under-0.2,4.6109610961096115,0.5388
14,ranges,Under-0.22,4.618961896189619,0.5388
14,ranges,Under-0.24,4.6269626962696275,0.5388
14,ranges,Under-0.26,4.704970497049706,0.5388
14,ranges,Under-0.28,4.732973297329734,0.5388
14,ranges,Under-0.3,4.730973097309731,0.5388
15,ranges,Over-0.3,6.515151515151516,0.3835
15,ranges,Over-0.28,6.469146914691469,0.3835
15,ranges,Over-0.26,6.441144114411442,0.3835
15,ranges,Over-0.24,6.393139313931393,0.3835
15,ranges,Over-0.22,6.345134513451344,0.3835
15,ranges,Over-0.2,6.317131713171318,0.3835
15,ranges,Over-0.18,6.273127312731272,0.3835
15,ranges,Over-0.16,6.205120512051205,0.3835
15,ranges,Over-0.14,6.155115511551155,0.3835
15,ranges,Over-0.12,6.0971097109710986,0.3835
15,ranges,Over-0.1,6.027102710271026,0.3835
15,ranges,Over-0.08,5.96909690969097,0.3835
15,ranges,Over-0.06,5.883088308830883,0.3835
15,ranges,Over-0.04,5.78907890789079,0.3835
15,ranges,Over-0.02,5.6890689068906894,0.3835
15,ranges,True-0.0,5.529052905290528,0.3835
15,ranges,Under-0.02,5.53105310531053,0.3835
15,ranges,Under-0.04,5.587058705870587,0.3835
15,ranges,Under-0.06,5.621062106210621,0.3835
15,ranges,Under-0.08,5.655065506550656,0.3835
15,ranges,Under-0.1,5.705070507050705,0.3835
15,ranges,Under-0.12,5.725072507250725,0.3835
15,ranges,Under-0.14,5.753075307530753,0.3835
15,ranges,Under-0.16,5.729072907290728,0.3835
15,ranges,Under-0.18,5.885088508850885,0.3835
15,ranges,Under-0.2,6.15911591159116,0.3835
15,ranges,Under-0.22,6.245124512451246,0.3835
15,ranges,Under-0.24,6.435143514351436,0.3835
15,ranges,Under-0.26,6.785178517851785,0.3835
15,ranges,Under-0.28,6.923192319231923,0.3835
15,ranges,Under-0.3,7.355235523552355,0.3835
16,ranges,Over-0.3,5.867086708670868,0.1926
16,ranges,Over-0.28,5.859085908590861,0.1926
16,ranges,Over-0.26,5.847084708470847,0.1926
16,ranges,Over-0.24,5.823082308230823,0.1926
16,ranges,Over-0.22,5.78907890789079,0.1926
16,ranges,Over-0.2,5.745074507450745,0.1926
16,ranges,Over-0.18,5.705070507050705,0.1926
16,ranges,Over-0.16,5.621062106210621,0.1926
16,ranges,Over-0.14,5.5230523052305225,0.1926
16,ranges,Over-0.12,5.407040704070408,0.1926
16,ranges,Over-0.1,5.277027702770276,0.1926
16,ranges,Over-0.08,5.117011701170117,0.1926
16,ranges,Over-0.06,4.932993299329933,0.1926
16,ranges,Over-0.04,4.772977297729772,0.1926
16,ranges,Over-0.02,4.608960896089609,0.1926
16,ranges,True-0.0,4.508950895089509,0.1926
16,ranges,Under-0.02,4.5669566956695675,0.1926
16,ranges,Under-0.04,4.618961896189619,0.1926
16,ranges,Under-0.06,4.648964896489649,0.1926
16,ranges,Under-0.08,4.63096309630963,0.1926
16,ranges,Under-0.1,4.688968896889689,0.1926
16,ranges,Under-0.12,4.714971497149714,0.1926
16,ranges,Under-0.14,4.7609760976097615,0.1926
16,ranges,Under-0.16,4.812981298129813,0.1926
16,ranges,Under-0.18,4.8069806980698075,0.1926
16,ranges,Under-0.2,4.798979897989799,0.1926
16,ranges,Under-0.22,4.880988098809881,0.1926
16,ranges,Under-0.24,5.009000900090008,0.1926
16,ranges,Under-0.26,5.103010301030102,0.1926
16,ranges,Under-0.28,5.0730073007300724,0.1926
16,ranges,Under-0.3,5.129012901290128,0.1926
17,ranges,Over-0.3,6.175117511751175,0.2978
17,ranges,Over-0.28,6.129112911291128,0.2978
17,ranges,Over-0.26,6.083108310831082,0.2978
17,ranges,Over-0.24,6.053105310531052,0.2978
17,ranges,Over-0.22,6.023102310231023,0.2978
17,ranges,Over-0.2,5.983098309830983,0.2978
17,ranges,Over-0.18,5.937093709370937,0.2978
17,ranges,Over-0.16,5.867086708670868,0.2978
17,ranges,Over-0.14,5.8110811081108125,0.2978
17,ranges,Over-0.12,5.743074307430741,0.2978
17,ranges,Over-0.1,5.683068306830684,0.2978
17,ranges,Over-0.08,5.611061106110611,0.2978
17,ranges,Over-0.06,5.5390539053905385,0.2978
17,ranges,Over-0.04,5.443044304430442,0.2978
17,ranges,Over-0.02,5.305030503050306,0.2978
17,ranges,True-0.0,5.203020302030204,0.2978
17,ranges,Under-0.02,5.183018301830183,0.2978
17,ranges,Under-0.04,5.157015701570158,0.2978
17,ranges,Under-0.06,5.131013101310131,0.2978
17,ranges,Under-0.08,5.16101610161016,0.2978
17,ranges,Under-0.1,5.137013701370137,0.2978
17,ranges,Under-0.12,5.137013701370137,0.2978
17,ranges,Under-0.14,5.103010301030102,0.2978
17,ranges,Under-0.16,5.16101610161016,0.2978
17,ranges,Under-0.18,5.1970197019701985,0.2978
17,ranges,Under-0.2,5.2390239023902385,0.2978
17,ranges,Under-0.22,5.293029302930292,0.2978
17,ranges,Under-0.24,5.505050505050506,0.2978
17,ranges,Under-0.26,5.563056305630562,0.2978
17,ranges,Under-0.28,5.5410541054105416,0.2978
17,ranges,Under-0.3,5.995099509950994,0.2978
18,ranges,Over-0.3,6.167116711671168,0.494
18,ranges,Over-0.28,6.167116711671168,0.494
18,ranges,Over-0.26,6.149114911491149,0.494
18,ranges,Over-0.24,6.115111511151115,0.494
18,ranges,Over-0.22,6.085108510851086,0.494
18,ranges,Over-0.2,6.053105310531052,0.494
18,ranges,Over-0.18,6.003100310031002,0.494
18,ranges,Over-0.16,5.957095709570957,0.494
